Joint 1,Joint 2,Joint 3,Joint 4,Joint 5,Joint 6,Joint 7
-0.0494817,0.0771826,-0.007862,-0.1403,-0.0169982,-0.0552277,0.0244164
0.0281987,0.117533,0.0305819,-0.0842356,0.00293497,-0.118588,-0.020636
-0.0034472,0.0630347,-0.103196,-0.160365,-0.0632782,-0.0866944,0.0630852
0.0610884,0.0491274,0.0358983,-0.0731919,0.0339089,-0.0875052,-0.0582661
-0.0283925,0.0346161,-0.0365925,-0.112916,-0.0133305,-0.0662708,0.0255151
0.0150177,0.0772847,0.022256,-0.0148097,0.0231712,-0.0726818,-0.0274625
-0.0193074,0.0564141,0.0263131,-0.0946536,0.0284158,-0.0495586,-0.00627353
-0.0507001,0.0789875,-0.00820512,-0.141491,-0.0178446,-0.0555386,0.0250328
0.0286299,0.119159,0.0317391,-0.0863092,0.00289556,-0.118988,-0.021822
-0.00670124,0.0650032,-0.103742,-0.161661,-0.0634836,-0.0871635,0.063854
0.0623919,0.0499612,0.0369905,-0.0737986,0.034568,-0.0871305,-0.0596773
-0.0300511,0.0357008,-0.0376555,-0.113266,-0.013757,-0.0660037,0.0269434
0.015524,0.0775449,0.022721,-0.0153308,0.0233257,-0.0719102,-0.0281105
-0.0192134,0.0574073,0.0259898,-0.0950724,0.0282159,-0.049287,-0.00582712
-0.0517972,0.0806833,-0.00856048,-0.142513,-0.0186468,-0.0558349,0.0256196
0.0291414,0.120673,0.0328388,-0.0881953,0.00287571,-0.119359,-0.0229811
-0.0098138,0.0668566,-0.104297,-0.162777,-0.0636523,-0.0876041,0.0646061
0.0637253,0.0507129,0.0380215,-0.0742578,0.0352213,-0.0867508,-0.0610428
-0.0316339,0.0366984,-0.0387227,-0.11347,-0.0141502,-0.0657319,0.0283415
0.0160937,0.0777378,0.0231557,-0.0157219,0.0234882,-0.0711501,-0.0287542
-0.0190668,0.0583175,0.025644,-0.095355,0.0280329,-0.049018,-0.00538996
-0.0527867,0.0822744,-0.00892359,-0.143376,-0.0194087,-0.0561172,0.0261782
0.0297196,0.12208,0.0338862,-0.0899064,0.00287212,-0.119701,-0.0241128
-0.012798,0.0685995,-0.104855,-0.163725,-0.0637882,-0.0880179,0.0653413
0.0650776,0.0513864,0.0389974,-0.0745813,0.0358663,-0.086367,-0.0623634
-0.03315,0.0376129,-0.0397882,-0.113541,-0.0145139,-0.0654563,0.0297091
0.0167154,0.0778666,0.0235647,-0.0159936,0.0236559,-0.0704019,-0.0293925
-0.0188776,0.0591484,0.0252808,-0.0955123,0.0278638,-0.0487519,-0.00496175
-0.0536811,0.0837646,-0.00929052,-0.144094,-0.020134,-0.0563864,0.0267102
0.0303523,0.123383,0.0348863,-0.0914543,0.00288185,-0.120017,-0.0252169
-0.015665,0.0702364,-0.105413,-0.164518,-0.0638951,-0.0884066,0.0660595
0.0664397,0.0519852,0.0399235,-0.07478,0.036501,-0.0859802,-0.0636404
-0.0346071,0.038448,-0.0408475,-0.113488,-0.0148512,-0.065178,0.0310457
0.0173794,0.0779346,0.0239518,-0.0161557,0.0238266,-0.0696658,-0.0300244
-0.0186543,0.0599033,0.0249046,-0.0955545,0.0277065,-0.0484889,-0.00454231
-0.0544908,0.0851582,-0.00965799,-0.144676,-0.0208257,-0.056643,0.027217
0.031029,0.124587,0.0358433,-0.0928502,0.0029025,-0.120307,-0.0262933
-0.0184249,0.0717717,-0.105965,-0.165167,-0.063976,-0.0887717,0.0667604
0.0678038,0.0525128,0.0408044,-0.074864,0.0371239,-0.0855911,-0.0648746
-0.0360115,0.0392075,-0.0418966,-0.113323,-0.0151648,-0.0648977,0.0323511
0.0180773,0.0779448,0.0243202,-0.0162176,0.0239983,-0.068942,-0.0306489
-0.0184041,0.0605857,0.024519,-0.095491,0.027559,-0.0482294,-0.00413145
-0.0552255,0.0864592,-0.0100233,-0.145133,-0.0214864,-0.056888,0.0277001
0.0317407,0.125697,0.0367608,-0.0941044,0.00293203,-0.120574,-0.0273419
-0.0210862,0.0732098,-0.10651,-0.165683,-0.0640336,-0.0891146,0.0674439
0.0691634,0.0529729,0.0416442,-0.0748427,0.0377336,-0.0852007,-0.0660671
-0.0373688,0.039895,-0.0429322,-0.113055,-0.015457,-0.0646164,0.0336251
0.0188018,0.0779003,0.0246726,-0.0161876,0.0241696,-0.0682306,-0.0312654
-0.0181331,0.0611988,0.0241272,-0.0953307,0.0274198,-0.0479737,-0.00372905
-0.0558931,0.0876715,-0.0103842,-0.145474,-0.0221186,-0.0571219,0.0281606
0.0324796,0.126717,0.0376421,-0.0952265,0.00296879,-0.120818,-0.0283628
-0.0236563,0.074555,-0.107046,-0.166076,-0.0640702,-0.0894368,0.06811
0.0705129,0.0533687,0.0424463,-0.0747252,0.0383294,-0.0848098,-0.0672189
-0.0386834,0.0405141,-0.0439515,-0.112692,-0.0157297,-0.0643347,0.0348677
0.0195469,0.0778042,0.0250112,-0.0160738,0.0243393,-0.0675319,-0.0318729
-0.0178463,0.0617461,0.0237318,-0.0950818,0.0272876,-0.0477219,-0.00333501
-0.0565008,0.0887989,-0.010739,-0.145708,-0.0227241,-0.0573454,0.0285997
0.0332393,0.12765,0.0384899,-0.0962258,0.00301139,-0.12104,-0.0293561
-0.0261416,0.0758114,-0.107568,-0.166355,-0.0640879,-0.0897394,0.0687585
0.0718481,0.0537035,0.043214,-0.0745194,0.0389105,-0.0844189,-0.068331
-0.039959,0.0410681,-0.0449521,-0.112244,-0.0159847,-0.0640533,0.0360787
0.020307,0.0776592,0.025338,-0.0158836,0.0245064,-0.0668458,-0.0324708
-0.0175479,0.0622306,0.0233352,-0.094752,0.0271614,-0.0474743,-0.00294923
-0.0570548,0.0898452,-0.0110861,-0.145843,-0.0233046,-0.0575591,0.0290185
0.034014,0.128501,0.0393066,-0.0971109,0.00305873,-0.121243,-0.0303221
-0.0285476,0.076983,-0.108077,-0.166528,-0.0640884,-0.0900239,0.0693893
0.0731652,0.0539806,0.0439498,-0.0742333,0.0394765,-0.0840289,-0.0694044
-0.0411987,0.0415603,-0.0459323,-0.111718,-0.0162233,-0.0637727,0.0372583
0.0210778,0.0774682,0.0256543,-0.0156238,0.0246703,-0.0661725,-0.0330586
-0.0172414,0.0626554,0.0229394,-0.0943484,0.0270405,-0.0472311,-0.00257166
-0.0575603,0.0908141,-0.0114245,-0.145887,-0.0238616,-0.0577635,0.0294181
0.0347991,0.129274,0.0400945,-0.0978896,0.00310988,-0.121428,-0.031261
-0.030879,0.0780737,-0.108571,-0.166604,-0.0640732,-0.0902913,0.0700026
0.0744615,0.054203,0.0446561,-0.0738738,0.0400273,-0.0836402,-0.07044
-0.0424049,0.041994,-0.0468904,-0.11112,-0.0164468,-0.0634937,0.0384065
0.0218554,0.0772339,0.0259616,-0.0153008,0.0248304,-0.065512,-0.0336357
-0.0169295,0.0630237,0.0225458,-0.0938778,0.0269241,-0.0469924,-0.00220226
-0.0580219,0.091709,-0.0117531,-0.145847,-0.0243965,-0.0579593,0.0297995
